time_sec,tcp_x_m,tcp_y_m,tcp_z_m,goal_err_x_m,goal_err_y_m,goal_err_z_m,goal_err_norm_m,goal_err_norm_mm
0.0,0.10565999999999999,-0.538409,0.363954,-0.005034999999999998,-0.03563099999999997,-0.129316,0.1342294574301781,134.22945743017812
0.05415678024291992,0.105658,-0.539388,0.36494,-0.005036999999999986,-0.03660999999999992,-0.12833,0.1335449451270994,133.54494512709942
0.10411548614501953,0.105655,-0.540168,0.36625599999999997,-0.005039999999999989,-0.03738999999999992,-0.12701400000000002,0.13249894299955753,132.49894299955753
0.15634751319885254,0.105654,-0.5406470000000001,0.368124,-0.00504099999999999,-0.03786900000000004,-0.12514599999999998,0.13084721685232742,130.84721685232742
0.20801663398742676,0.105657,-0.540614,0.370919,-0.005037999999999987,-0.03783599999999998,-0.12235099999999999,0.12816673336322493,128.16673336322492
0.2599143981933594,0.10566400000000001,-0.540025,0.374909,-0.00503099999999998,-0.03724699999999992,-0.118361,0.1241852498930529,124.1852498930529
0.31100988388061523,0.10567499999999999,-0.539099,0.379767,-0.005019999999999997,-0.03632099999999994,-0.11350299999999997,0.11927844084326382,119.27844084326382
0.3629422187805176,0.10568999999999999,-0.5375420000000001,0.38643,-0.0050049999999999956,-0.03476400000000002,-0.10683999999999999,0.11246497819765938,112.46497819765938
0.4150395393371582,0.105708,-0.535596,0.393356,-0.0049869999999999914,-0.0328179999999999,-0.099914,0.10528389567735416,105.28389567735417
0.46707892417907715,0.10572799999999999,-0.533433,0.40032100000000004,-0.004966999999999999,-0.030654999999999988,-0.09294899999999995,0.09799957507560933,97.99957507560933
0.5190608501434326,0.105754,-0.530588,0.40857,-0.004940999999999987,-0.02780999999999989,-0.0847,0.08928549479618732,89.28549479618732
0.5710804462432861,0.105781,-0.527605,0.41614,-0.004913999999999988,-0.024826999999999932,-0.07712999999999998,0.08117613088217492,81.17613088217492
0.6231691837310791,0.105809,-0.524494,0.422596,-0.004885999999999988,-0.021715999999999958,-0.07067399999999996,0.07409636919579793,74.09636919579793
0.6750543117523193,0.105842,-0.520635,0.42856299999999997,-0.004852999999999982,-0.0178569999999999,-0.06470700000000001,0.06730096512680928,67.30096512680927
0.7272851467132568,0.105876,-0.516443,0.43379399999999996,-0.00481899999999999,-0.013664999999999927,-0.05947600000000003,0.061215599008749406,61.21559900874941
